    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              2,         0,           0,          0
   25,            35,              13,             24,        62,          25,         78
   50,            78,              31,             39,       153,          50,        169
   75,           106,              34,             50,       243,          75,        268
  100,           135,              38,             61,       346,         100,        389
  125,           170,              48,             77,       455,         125,        486
  150,           208,              61,             96,       553,         150,        630
  175,           244,              72,            111,       672,         175,        757
  200,           284,              87,            129,       794,         200,        871
  225,           320,              98,            201,       900,         225,        993
  250,           361,             114,            166,      1048,         250,       1097
  275,           395,             123,            206,      1150,         275,       1241
  300,           433,             136,            204,      1261,         300,       1349
  325,           465,             143,            216,      1386,         325,       1540
  350,           496,             149,            256,      1517,         350,       3343
  375,           536,             164,            251,      1653,         375,       3315
  400,           572,             175,            447,      1783,         400,       1942
  425,           608,             186,            279,      1900,         425,       2019
  450,           645,             198,            306,      2040,         450,       2279
  475,           683,             211,            321,      2171,         475,       3632
  500,           715,             218,            846,      2335,         500,       4808
  525,           746,             224,            349,      2466,         525,       2792
  550,           781,             234,            370,      2562,         550,       2804
  575,           823,             251,           2188,      2708,         575,       7450
  600,           854,             257,            423,      2820,         600,       3073
  625,           886,             264,            410,      2943,         625,       3176
  650,           920,             273,            414,      3088,         650,       7222
  675,           955,             283,            461,      3206,         675,       3917
  700,           994,             297,            442,      3378,         700,       3618
  725,          1031,             309,            511,      3513,         725,       4465
  750,          1069,             322,            613,      3666,         750,       5819
  775,          1111,             339,            503,      3833,         775,       4045
  800,          1144,             347,            545,      3955,         800,       8123
  825,          1176,             354,            657,      4069,         825,       4832
  850,          1208,             361,            574,      4215,         850,       4636
  875,          1241,             369,           1359,      4360,         875,       7179
  900,          1274,             377,            581,      4514,         900,       4724
  925,          1314,             392,            778,      4673,         925,       6631
  950,          1351,             404,            605,      4822,         950,       4842
  975,          1386,             414,            635,      4991,         975,       5124
 1000,          1421,             424,            636,      5163,        1000,       4920
 1025,          1466,             444,            653,      5348,        1025,       5218
 1050,          1502,             455,            679,      5450,        1050,       7057
 1075,          1536,             464,            748,      5567,        1075,       6333
 1100,          1568,             471,            760,      5674,        1100,       5660
 1125,          1595,             473,            742,      5821,        1125,       5858
 1150,          1631,             484,            718,      5975,        1150,       5786
 1175,          1662,             490,            728,      6085,        1175,       5961
 1200,          1700,             503,            750,      6238,        1200,       6132
 1225,          1731,             509,            780,      6377,        1225,       6413
 1250,          1772,             525,            801,      6527,        1250,       6442
 1275,          1810,             538,            787,      6695,        1275,       6518
 1300,          1843,             546,            858,      6829,        1300,       6823
 1325,          1879,             557,            835,      6953,        1325,       7155
 1350,          1907,             560,            837,      7094,        1350,       6942
 1375,          1943,             571,            854,      7277,        1375,       7601
 1400,          1978,             581,           1030,      7428,        1400,       7266
 1425,          2013,             591,            882,      7569,        1425,       7361
 1450,          2043,             596,            894,      7738,        1450,       7513
 1475,          2083,             611,            912,      7903,        1475,       7648
 1500,          2117,             620,            956,      8076,        1500,       7791
 1525,          2149,             627,            941,      8260,        1525,       8337
 1550,          2184,             637,            957,      8405,        1550,       8077
 1575,          2219,             647,            972,      8535,        1575,       8687
 1600,          2252,             655,           1005,      8694,        1600,       8792
 1625,          2292,             670,           1017,      8798,        1625,       8487
 1650,          2332,             685,           1021,      8960,        1650,       8644
 1675,          2363,             691,           1034,      9128,        1675,       9591
 1700,          2399,             702,           1119,      9266,        1700,       9903
 1725,          2434,             712,           1187,      9446,        1725,       9131
 1750,          2464,             717,           1102,      9592,        1750,       9553
 1775,          2498,             726,           1125,      9764,        1775,       9443
 1800,          2530,             733,           1105,      9924,        1800,       9488
 1825,          2564,             742,           1152,     10073,        1825,      10010
 1850,          2598,             751,           1137,     10257,        1850,       9862
 1875,          2629,             757,           1147,     10387,        1875,      10213
 1900,          2665,             768,           1258,     10568,        1900,      10698
 1925,          2704,             782,           1205,     10757,        1925,      10244
 1950,          2740,             793,           1263,     10940,        1950,      10411
 1975,          2782,             810,           1216,     11125,        1975,      10581
 2000,          2819,             822,           1235,     11308,        2000,      10787
 2025,          2854,             832,           1266,     11490,        2025,      11166
 2050,          2883,             836,           1268,     11707,        2050,      11624
 2075,          2921,             849,           1287,     11814,        2075,      11320
 2100,          2964,             867,           1298,     11930,        2100,      11545
 2125,          2998,             876,           1345,     12040,        2125,      11467
 2150,          3038,             891,           1374,     12184,        2150,      11858
 2175,          3073,             901,           1453,     12317,        2175,      11751
 2200,          3108,             911,           1361,     12439,        2200,      12523
 2225,          3142,             920,           1510,     12581,        2225,      12565
 2250,          3172,             925,           1473,     12745,        2250,      13309
 2275,          3203,             931,           1496,     12893,        2275,      13128
 2300,          3250,             953,           1602,     13089,        2300,      12517
 2325,          3284,             962,           1447,     13213,        2325,      12726
 2350,          3330,             983,           1507,     13347,        2350,      12845
 2375,          3367,             995,           1756,     13507,        2375,      13022
 2400,          3406,            1009,           1598,     13668,        2400,      13122
 2425,          3443,            1021,           1604,     13812,        2425,      13882
 2450,          3480,            1033,           1534,     13979,        2450,      14911
 2475,          3513,            1041,           1602,     14141,        2475,      13747
 2500,          3546,            1049,           1579,     14302,        2500,      14636
 2525,          3578,            1056,           1600,     14498,        2525,      13891
 2550,          3612,            1065,           1605,     14684,        2550,      14174
 2575,          3648,            1076,           1637,     14868,        2575,      14755
 2600,          3679,            1082,           1725,     14983,        2600,      14343
 2625,          3721,            1099,           1775,     15138,        2625,      14647
 2650,          3758,            1111,           1801,     15229,        2650,      15762
 2675,          3793,            1121,           1669,     15429,        2675,      14850
 2700,          3832,            1135,           1830,     15565,        2700,      15517
 2725,          3872,            1150,           1707,     15724,        2725,      19497
 2750,          3899,            1152,           1907,     15925,        2750,      15563
 2775,          3939,            1167,           1762,     16056,        2775,      15898
 2800,          3972,            1175,           1765,     16255,        2800,      15780
 2825,          4007,            1185,           1883,     16402,        2825,      16131
 2850,          4048,            1201,           1784,     16596,        2850,      16076
 2875,          4081,            1209,           1824,     16749,        2875,      16543
 2900,          4122,            1225,           1841,     16941,        2900,      16552
 2925,          4160,            1238,           1878,     17104,        2925,      16444
 2950,          4200,            1253,           1948,     17288,        2950,      17312
 2975,          4239,            1267,           1916,     17492,        2975,      17032
 3000,          4273,            1276,           1940,     17666,        3000,      16841
 3025,          4312,            1290,           1902,     17866,        3025,      17194
 3050,          4349,            1302,           1934,     18092,        3050,      17611
 3075,          4387,            1315,           1959,     18281,        3075,      17609
 3100,          4418,            1321,           2025,     18404,        3100,      17950
 3125,          4448,            1326,           1994,     18513,        3125,      17687
 3150,          4492,            1345,           2030,     18668,        3150,      18293
 3175,          4530,            1358,           2039,     18801,        3175,      19287
 3200,          4566,            1369,           2206,     19004,        3200,      18822
 3225,          4602,            1380,           2044,     19115,        3225,      18350
 3250,          4638,            1391,           2074,     19264,        3250,      18675
 3275,          4681,            1409,           2095,     19424,        3275,      18563
 3300,          4715,            1418,           2144,     19603,        3300,      18754
 3325,          4755,            1433,           2102,     19816,        3325,      19636
 3350,          4787,            1440,           2435,     19948,        3350,      19825
 3375,          4825,            1453,           2195,     20106,        3375,      19267
 3400,          4868,            1471,           2249,     20265,        3400,      19710
 3425,          4906,            1484,           2172,     20456,        3425,      19547
 3450,          4946,            1499,           2213,     20640,        3450,      19819
 3475,          4985,            1513,           2230,     20792,        3475,      20138
 3500,          5020,            1523,           2281,     20987,        3500,      20154
 3525,          5053,            1531,           2240,     21163,        3525,      20413
 3550,          5086,            1539,           2269,     21344,        3550,      20622
 3575,          5123,            1551,           2398,     21566,        3575,      21227
 3600,          5162,            1565,           2293,     21695,        3600,      21024
 3625,          5202,            1580,           2371,     21889,        3625,      21208
 3650,          5233,            1586,           2388,     22042,        3650,      21078
 3675,          5266,            1594,           2333,     22255,        3675,      21626
 3700,          5301,            1604,           2745,     22403,        3700,      21947
 3725,          5333,            1611,           2477,     22522,        3725,      21591
 3750,          5366,            1619,           2417,     22709,        3750,      21526
 3775,          5398,            1626,           2527,     22909,        3775,      22705
 3800,          5435,            1638,           2430,     23090,        3800,      23854
 3825,          5469,            1647,           2503,     23301,        3825,      23980
 3850,          5505,            1658,           2607,     23482,        3850,      23034
 3875,          5545,            1673,           2455,     23667,        3875,      22831
 3900,          5583,            1686,           2470,     23874,        3900,      22996
 3925,          5620,            1698,           2540,     24071,        3925,      22731
 3950,          5654,            1707,           2693,     24262,        3950,      22983
 3975,          5687,            1715,           2551,     24443,        3975,      23704
 4000,          5723,            1726,           2574,     24651,        4000,      23611
 4025,          5763,            1741,           2589,     24821,        4025,      23547
 4050,          5803,            1756,           2566,     25058,        4050,      24360
 4075,          5836,            1764,           2618,     25277,        4075,      25000
 4100,          5873,            1776,           2718,     25509,        4100,      24522
 4125,          5917,            1795,           2683,     25621,        4125,      24348
 4150,          5959,            1812,           2672,     25753,        4150,      24816
 4175,          5994,            1822,           2846,     25851,        4175,      24888
 4200,          6033,            1836,           2697,     25998,        4200,      24703
 4225,          6077,            1855,           2779,     26138,        4225,      24858
 4250,          6116,            1869,           2737,     26257,        4250,      24982
 4275,          6151,            1879,           2876,     26413,        4275,      25766
 4300,          6187,            1890,           2764,     26566,        4300,      25328
 4325,          6220,            1898,           2801,     26727,        4325,      26371
 4350,          6261,            1914,           3026,     26856,        4350,      26476
 4375,          6295,            1923,           2931,     27044,        4375,      26983
 4400,          6328,            1931,           2925,     27143,        4400,      26680
 4425,          6369,            1947,           2898,     27300,        4425,      27062
 4450,          6403,            1956,           3087,     27460,        4450,      26753
 4475,          6439,            1967,           3181,     27668,        4475,      27934
 4500,          6469,            1972,           2997,     27778,        4500,      26896
 4525,          6506,            1984,           2929,     27978,        4525,      27179
 4550,          6553,            2006,           2934,     28128,        4550,      26840
 4575,          6593,            2021,           2954,     28329,        4575,      27524
 4600,          6627,            2030,           3021,     28528,        4600,      27158
 4625,          6659,            2037,           3381,     28671,        4625,      29043
 4650,          6699,            2052,           4511,     28819,        4650,      28226
 4675,          6731,            2059,           3019,     28956,        4675,      28047
 4700,          6771,            2074,           3023,     29116,        4700,      28276
 4725,          6802,            2080,           3112,     29258,        4725,      29009
 4750,          6838,            2091,           3062,     29424,        4750,      28314
 4775,          6873,            2101,           3071,     29606,        4775,      28290
 4800,          6909,            2112,           3123,     29778,        4800,      28840
 4825,          6943,            2121,           3097,     29937,        4825,      28964
 4850,          6976,            2129,           3140,     30119,        4850,      29878
 4875,          7010,            2138,           3175,     30281,        4875,      34646
 4900,          7043,            2146,           3432,     30455,        4900,      46884
 4925,          7082,            2160,           4582,     30612,        4925,      40847
 4950,          7111,            2164,           3459,     30789,        4950,      39680
 4975,          7145,            2173,           4366,     31008,        4975,      43519
 5000,          7178,            2181,           3437,     31150,        5000,      33285
 5025,          7207,            2185,           3985,     31337,        5025,      31423
 5050,          7238,            2191,           3301,     31561,        5050,      33818
 5075,          7272,            2200,           3652,     31760,        5075,      31102
 5100,          7307,            2210,           3288,     31928,        5100,      37674
 5125,          7339,            2217,           3626,     32180,        5125,      49895
 5150,          7370,            2223,           3523,     32311,        5150,      40869
 5175,          7404,            2232,           5459,     32422,        5175,      40152
 5200,          7446,            2249,           3566,     32563,        5200,      42070
 5225,          7475,            2253,           3782,     32721,        5225,      32190
 5250,          7506,            2259,           3593,     32910,        5250,      31771
 5275,          7544,            2272,           3484,     33043,        5275,      33911
 5300,          7576,            2279,           3408,     33161,        5300,      32547
