   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              1,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              4,         1,           2,          6
   3,             3,               2,              5,         3,           3,          6
   4,             4,               2,              3,         5,           4,          7
   5,             5,               2,              3,         6,           5,         10
   6,             6,               2,              3,         8,           6,         12
   7,             7,               2,              4,        10,           7,         14
   8,             8,               2,              4,        14,           8,         18
   9,             9,               2,              4,        15,           9,         19
  10,            10,               2,              5,        16,          10,         22
  11,            11,               2,              5,        19,          11,         24
  12,            13,               3,              6,        22,          12,         27
  13,            14,               3,              6,        25,          13,         30
  14,            15,               3,              7,        26,          14,         32
  15,            16,               3,              7,        31,          15,         36
  16,            17,               3,              7,        34,          16,         39
  17,            19,               4,              8,        35,          17,         42
  18,            20,               4,              9,        40,          18,         46
  19,            21,               4,              9,        41,          19,         49
  20,            23,               5,             10,        42,          20,         73
  21,            25,               6,             11,        46,          21,         55
  22,            26,               6,             11,        52,          22,         59
  23,            27,               6,             12,        52,          23,         61
  24,            28,               6,             12,        57,          24,         65
  25,            29,               6,             12,        60,          25,         69
  26,            31,               7,             13,        64,          26,         72
  27,            33,               8,             14,        68,          27,         76
  28,            36,              10,             16,        67,          28,         78
  29,            37,              10,             16,        74,          29,         82
  30,            38,              10,             16,        78,          30,         85
  31,            40,              11,             17,        83,          31,         88
  32,            41,              11,             18,        86,          32,         92
  33,            42,              11,             18,        87,          33,         97
  34,            43,              11,             18,        91,          34,        100
  35,            45,              12,             20,        92,          35,        104
  36,            46,              12,             20,        97,          36,        108
  37,            47,              12,             20,       100,          37,        112
  38,            48,              12,             20,       103,          38,        113
  39,            49,              12,             20,       106,          39,        117
  40,            51,              13,             21,       109,          40,        120
  41,            52,              13,             22,       112,          41,        128
  42,            53,              13,             23,       114,          42,        129
  43,            54,              13,             23,       118,          43,        130
  44,            55,              13,             23,       123,          44,        134
  45,            56,              13,             23,       127,          45,        138
  46,            57,              13,             23,       127,          46,        142
  47,            59,              14,             25,       133,          47,        171
  48,            61,              15,             28,       139,          48,        152
  49,            62,              15,             26,       141,          49,        154
  50,            63,              15,             26,       145,          50,        158
  51,            65,              16,             28,       148,          51,        164
  52,            67,              17,             29,       154,          52,        165
  53,            70,              19,             30,       158,          53,        168
  54,            73,              21,             31,       163,          54,        172
  55,            74,              21,             31,       168,          55,        178
  56,            75,              21,             33,       163,          56,        184
  57,            76,              21,             33,       165,          57,        182
  58,            77,              21,             33,       181,          58,        188
  59,            78,              21,             33,       181,          59,        191
  60,            79,              21,             33,       186,          60,        193
  61,            80,              21,             34,       188,          61,        199
  62,            81,              21,             35,       198,          62,        209
  63,            82,              21,             35,       200,          63,        240
  64,            84,              22,             37,       206,          64,        216
  65,            85,              22,             36,       208,          65,        216
  66,            86,              22,             36,       206,          66,        219
  67,            87,              22,             37,       213,          67,        224
  68,            89,              23,             37,       216,          68,        227
  69,            92,              25,             39,       220,          69,        235
  70,            96,              28,             44,       222,          70,        238
  71,           100,              31,             82,       224,          71,        239
  72,           101,              31,             45,       235,          72,        246
  73,           102,              31,             46,       234,          73,        294
  74,           103,              31,             47,       240,          74,        253
  75,           104,              31,             45,       245,          75,        284
  76,           105,              31,             46,       241,          76,        257
  77,           106,              31,             46,       250,          77,        261
  78,           108,              32,             47,       253,          78,        266
  79,           111,              34,             48,       257,          79,        269
  80,           112,              34,             48,       266,          80,        274
  81,           113,              34,             49,       266,          81,        279
  82,           114,              34,             51,       266,          82,        281
  83,           116,              35,             50,       277,          83,        307
  84,           117,              35,             52,       273,          84,        290
  85,           120,              37,             52,       277,          85,        293
  86,           124,              40,             55,       285,          86,        299
  87,           125,              40,             55,       290,          87,        301
  88,           126,              40,             55,       294,          88,        305
  89,           127,              40,             56,       297,          89,        308
  90,           128,              40,             56,       307,          90,        315
  91,           130,              41,             57,       309,          91,        317
  92,           131,              41,             63,       310,          92,        344
  93,           132,              41,             59,       314,          93,        329
  94,           133,              41,             58,       319,          94,        329
  95,           134,              41,             58,       326,          95,        376
  96,           135,              41,             59,       330,          96,        339
  97,           139,              44,             61,       333,          97,        344
  98,           144,              48,             64,       338,          98,        347
  99,           145,              48,             64,       345,          99,        351
 100,           146,              48,             65,       349,         100,        355
 101,           147,              48,             65,       353,         101,        358
 102,           148,              48,             65,       355,         102,        362
 103,           149,              48,             66,       359,         103,        365
 104,           150,              48,             66,       361,         104,        369
 105,           151,              48,             66,       363,         105,        374
 106,           152,              48,             66,       371,         106,        380
 107,           154,              49,             67,       371,         107,        404
 108,           156,              50,             71,       385,         108,        397
 109,           160,              53,             72,       385,         109,        434
 110,           163,              55,             74,       394,         110,        430
 111,           164,              55,             76,       398,         111,        414
 112,           165,              55,             75,       392,         112,        408
 113,           167,              56,             74,       394,         113,        409
 114,           169,              57,             75,       401,         114,        412
 115,           173,              60,             77,       402,         115,        421
 116,           174,              60,             79,       425,         116,        450
 117,           175,              60,             85,       424,         117,        477
 118,           176,              60,             87,       426,         118,        483
 119,           179,              62,             90,       428,         119,        495
 120,           180,              62,             84,       441,         120,        442
 121,           181,              62,             80,       442,         121,        442
 122,           182,              62,             81,       446,         122,        445
 123,           183,              62,             82,       450,         123,        451
 124,           184,              62,             81,       462,         124,        455
 125,           185,              62,             82,       463,         125,        458
 126,           186,              62,             82,       469,         126,        466
 127,           187,              62,             83,       471,         127,        619
 128,           188,              62,            132,       484,         128,        485
 129,           191,              64,            133,       487,         129,        491
 130,           192,              64,             88,       483,         130,        567
 131,           193,              64,             88,       490,         131,        491
 132,           194,              64,             86,       487,         132,        490
 133,           196,              65,             86,       493,         133,        546
 134,           197,              65,             88,       499,         134,        507
 135,           198,              65,             87,       502,         135,        502
 136,           199,              65,             87,       503,         136,        506
 137,           200,              65,             88,       507,         137,        513
 138,           201,              65,             88,       512,         138,        514
 139,           202,              65,             88,       518,         139,        523
 140,           203,              65,             90,       517,         140,        523
 141,           204,              65,             89,       518,         141,        528
 142,           205,              65,             89,       525,         142,        531
 143,           208,              67,             90,       529,         143,        534
 144,           209,              67,             90,       544,         144,        542
 145,           210,              67,             91,       545,         145,        553
 146,           212,              68,             92,       541,         146,        548
 147,           213,              68,            150,       545,         147,        595
 148,           214,              68,             96,       553,         148,        559
 149,           215,              68,             93,       556,         149,        560
 150,           217,              69,             94,       562,         150,        568
 151,           219,              70,             95,       563,         151,        573
 152,           220,              70,             95,       564,         152,        576
 153,           221,              70,             95,       566,         153,        576
 154,           222,              70,             96,       577,         154,        600
 155,           223,              70,             97,       584,         155,        884
 156,           224,              70,            102,       588,         156,        605
 157,           225,              70,             97,       596,         157,        599
 158,           226,              70,            113,       590,         158,        600
 159,           228,              71,             98,       601,         159,        603
 160,           229,              71,             99,       612,         160,        613
 161,           230,              71,            100,       614,         161,        616
 162,           232,              72,            100,       608,         162,        617
 163,           233,              72,            100,       617,         163,        624
 164,           234,              72,            101,       622,         164,        628
 165,           236,              73,            101,       624,         165,        632
 166,           239,              75,            103,       632,         166,        636
 167,           243,              78,            105,       639,         167,        645
 168,           248,              82,            108,       635,         168,        643
 169,           249,              82,            108,       642,         169,        674
 170,           250,              82,            110,       648,         170,        663
 171,           251,              82,            110,       648,         171,        765
 172,           252,              82,            113,       655,         172,        696
