  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              1,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0
  2,             1,               0,              4,         1,           2,          7
  3,             2,               0,              1,         2,           3,          5
  4,             4,               1,              4,         4,           4,          7
  5,             5,               1,              3,         6,           5,         10
  6,             9,               4,              5,        10,           6,         13
  7,            12,               6,              6,        12,           7,         15
  8,            13,               6,              7,        15,           8,         18
  9,            14,               6,              7,        16,           9,         20
 10,            16,               7,              8,        18,          10,         23
 11,            18,               8,              9,        21,          11,         26
 12,            19,               8,              9,        26,          12,         29
 13,            20,               8,              9,        28,          13,         33
 14,            21,               8,             10,        29,          14,         35
 15,            22,               8,             10,        32,          15,         38
 16,            23,               8,             11,        37,          16,         42
 17,            24,               8,             11,        38,          17,         45
 18,            25,               8,             11,        40,          18,         48
 19,            27,               9,             12,        43,          19,         51
 20,            28,               9,             12,        45,          20,         54
 21,            29,               9,             13,        47,          21,         56
 22,            30,               9,             13,        50,          22,         60
 23,            31,               9,             13,        54,          23,         63
 24,            32,               9,             14,        59,          24,         67
 25,            33,               9,             14,        61,          25,         70
 26,            34,               9,             14,        64,          26,         74
 27,            35,               9,             15,        68,          27,        264
 28,            37,              10,             19,        69,          28,         85
 29,            39,              11,             17,        73,          29,         87
 30,            40,              11,             17,        77,          30,         88
 31,            41,              11,             17,        81,          31,         91
 32,            42,              11,             18,        87,          32,         96
 33,            43,              11,             18,        88,          33,         98
 34,            44,              11,             18,        89,          34,        113
 35,            46,              12,             19,        91,          35,        105
 36,            48,              13,             20,        97,          36,        109
 37,            50,              14,             21,       101,          37,        113
 38,            55,              18,             24,       103,          38,        118
 39,            56,              18,             25,       109,          39,        119
 40,            57,              18,             25,       111,          40,        123
 41,            58,              18,             25,       113,          41,        126
 42,            59,              18,             25,       115,          42,        130
 43,            61,              19,             26,       118,          43,        133
 44,            63,              20,             27,       123,          44,        136
 45,            65,              21,             28,       128,          45,        138
 46,            66,              21,             28,       134,          46,        142
 47,            67,              21,             29,       136,          47,        144
 48,            68,              21,             29,       144,          48,        149
 49,            69,              21,             29,       146,          49,        153
 50,            71,              22,             30,       147,          50,        156
 51,            72,              22,             30,       151,          51,        177
 52,            73,              22,             32,       154,          52,        164
 53,            75,              23,             32,       159,          53,        167
 54,            77,              24,             33,       163,          54,        172
 55,            78,              24,             33,       171,          55,        175
 56,            80,              25,             34,       172,          56,        179
 57,            81,              25,             34,       175,          57,        182
 58,            82,              25,             35,       176,          58,        185
 59,            83,              25,             35,       181,          59,        189
 60,            85,              26,             36,       183,          60,        192
 61,            86,              26,             36,       189,          61,        196
 62,            87,              26,             37,       195,          62,        200
 63,            88,              26,             37,       203,          63,        205
 64,            89,              26,             37,       206,          64,        209
 65,            90,              26,             38,       207,          65,        213
 66,            91,              26,             37,       210,          66,        217
 67,            92,              26,             38,       208,          67,        220
 68,            94,              27,             40,       219,          68,        225
 69,            97,              29,             41,       220,          69,        228
 70,           100,              31,             43,       225,          70,        233
 71,           101,              31,             43,       225,          71,        236
 72,           102,              31,             43,       232,          72,        241
 73,           104,              32,             45,       232,          73,        245
 74,           106,              33,             45,       239,          74,        248
 75,           107,              33,             45,       241,          75,        285
 76,           108,              33,             47,       246,          76,        257
 77,           109,              33,             49,       251,          77,        262
 78,           111,              34,             47,       252,          78,        262
 79,           112,              34,             48,       258,          79,        267
 80,           113,              34,             48,       262,          80,        301
 81,           114,              34,             50,       263,          81,        275
 82,           115,              34,             49,       266,          82,        278
 83,           116,              34,             49,       271,          83,        282
 84,           117,              34,             49,       273,          84,        286
 85,           118,              34,             49,       277,          85,        289
 86,           119,              34,             50,       280,          86,        294
 87,           120,              34,             50,       283,          87,        313
 88,           121,              34,             52,       290,          88,        331
 89,           122,              34,             56,       292,          89,        317
 90,           124,              35,             53,       298,          90,        318
 91,           125,              35,             54,       300,          91,        339
 92,           126,              35,             55,       308,          92,        325
 93,           128,              36,             61,       312,          93,        336
 94,           129,              36,             56,       320,          94,        356
 95,           130,              36,             56,       319,          95,        333
 96,           131,              36,             54,       329,          96,        336
 97,           132,              36,             55,       331,          97,        341
 98,           134,              37,             56,       340,          98,        345
 99,           136,              38,             66,       343,          99,        349
100,           137,              38,             57,       337,         100,        351
