      n, merge_cmp, merge_swaps, merge_time
      0,         0,           0,          1
  10000,    120363,       10000,      81258
  20000,    260947,       20000,     170806
  30000,    408763,       30000,     268049
  40000,    561857,       40000,     371967
  50000,    718176,       50000,     497430
  60000,    877406,       60000,     725761
  70000,   1039008,       70000,     761810
  80000,   1203669,       80000,     816240
  90000,   1369779,       90000,     936623
 100000,   1536313,      100000,    1160332
 110000,   1705121,      110000,    1224698
 120000,   1874597,      120000,    1275036
 130000,   2044151,      130000,    1556797
 140000,   2217887,      140000,    1522755
 150000,   2392476,      150000,    1754879
 160000,   2567295,      160000,    1832986
 170000,   2743317,      170000,    2016672
 180000,   2919428,      180000,    2908737
 190000,   3095739,      190000,    2466230
 200000,   3272820,      200000,    2877494
 210000,   3451328,      210000,    2415742
 220000,   3629895,      220000,    2619299
 230000,   3809249,      230000,    2849447
 240000,   3988720,      240000,    2942092
 250000,   4168390,      250000,    3108605
 260000,   4348727,      260000,    3132889
 270000,   4531680,      270000,    3171212
 280000,   4715721,      280000,    3399504
 290000,   4900358,      290000,    3622459
 300000,   5084665,      300000,    3752008
 310000,   5269559,      310000,    3844742
 320000,   5454851,      320000,    4168771
 330000,   5639320,      330000,    4132889
 340000,   5826048,      340000,    4322007
 350000,   6011756,      350000,    4488089
