     n, merge_cmp, merge_swaps, merge_time
     0,         0,           0,          1
   500,      3841,         500,       2948
  1000,      8713,        1000,       5998
  1500,     13965,        1500,       9324
  2000,     19403,        2000,      13203
  2500,     25136,        2500,      18248
  3000,     30943,        3000,      22094
  3500,     36832,        3500,      24416
  4000,     42778,        4000,      28335
  4500,     48920,        4500,      33257
  5000,     55236,        5000,      37109
  5500,     61514,        5500,      41683
  6000,     67836,        6000,      45790
  6500,     74235,        6500,      50344
  7000,     80657,        7000,      55476
  7500,     87137,        7500,      56611
  8000,     93600,        8000,      66527
  8500,    100220,        8500,      68323
  9000,    106903,        9000,      74919
  9500,    113594,        9500,      76048
 10000,    120482,       10000,      79489
 10500,    127170,       10500,      83366
 11000,    133956,       11000,      86966
 11500,    140789,       11500,     114271
 12000,    147613,       12000,     109679
 12500,    154516,       12500,     106719
 13000,    161451,       13000,     109589
 13500,    168350,       13500,     115865
 14000,    175309,       14000,     119253
 14500,    182261,       14500,     123790
 15000,    189220,       15000,     126134
 15500,    196220,       15500,     128226
 16000,    203238,       16000,     135952
 16500,    210179,       16500,     138350
 17000,    217434,       17000,     261086
 17500,    224614,       17500,     163563
 18000,    231847,       18000,     281206
 18500,    239214,       18500,     196281
 19000,    246236,       19000,     165338
 19500,    253628,       19500,     166916
 20000,    260911,       20000,     171856
 20500,    268055,       20500,     177481
 21000,    275449,       21000,     180220
 21500,    282755,       21500,     187303
 22000,    289987,       22000,     196769
 22500,    297218,       22500,     194823
 23000,    304536,       23000,     199470
 23500,    311986,       23500,     206263
 24000,    319231,       24000,     215167
 24500,    326589,       24500,     216377
 25000,    333980,       25000,     220261
 25500,    341257,       25500,     226417
 26000,    348844,       26000,     231174
 26500,    356270,       26500,     347579
 27000,    363769,       27000,     319710
 27500,    371509,       27500,     245653
 28000,    378603,       28000,     249898
 28500,    386135,       28500,     258737
 29000,    393570,       29000,     263977
 29500,    401010,       29500,     266850
 30000,    408598,       30000,     268086
 30500,    416069,       30500,     283780
 31000,    423556,       31000,     284326
 31500,    430917,       31500,     286288
 32000,    438602,       32000,     288503
 32500,    446015,       32500,     309270
 33000,    453630,       33000,     427631
 33500,    461440,       33500,     399205
 34000,    468984,       34000,     372816
 34500,    476754,       34500,     316903
 35000,    484367,       35000,     325245
 35500,    492180,       35500,     329193
 36000,    499790,       36000,     353101
 36500,    507703,       36500,     339717
 37000,    515484,       37000,     346855
 37500,    523032,       37500,     347777
 38000,    530774,       38000,     355238
 38500,    538587,       38500,     609892
 39000,    546290,       39000,     378286
 39500,    554075,       39500,     371518
 40000,    561953,       40000,     372550
 40500,    569592,       40500,     379617
 41000,    577235,       41000,     390571
 41500,    584941,       41500,     391661
 42000,    593009,       42000,     396927
 42500,    600760,       42500,     402626
 43000,    608641,       43000,     581398
 43500,    616486,       43500,     413587
 44000,    624136,       44000,     424083
 44500,    632072,       44500,     421846
 45000,    639634,       45000,     428883
 45500,    647482,       45500,     439026
 46000,    655315,       46000,     440628
 46500,    663169,       46500,     442430
 47000,    671062,       47000,     563980
 47500,    678921,       47500,     537928
 48000,    686698,       48000,     466452
 48500,    694573,       48500,     466085
 49000,    702521,       49000,     473233
 49500,    710549,       49500,     478178
 50000,    718204,       50000,     483194
 50500,    726275,       50500,     548310
 51000,    733972,       51000,     591365
 51500,    742050,       51500,     498910
 52000,    750063,       52000,     503860
 52500,    757921,       52500,     511177
 53000,    765712,       53000,     514210
 53500,    773841,       53500,     523483
 54000,    781690,       54000,     612712
 54500,    789541,       54500,     620745
 55000,    798015,       55000,     538391
 55500,    805574,       55500,     545192
 56000,    813372,       56000,     550334
 56500,    821416,       56500,     553323
 57000,    829335,       57000,     559787
 57500,    837315,       57500,     790501
 58000,    845393,       58000,     571624
 58500,    853317,       58500,     575220
 59000,    861184,       59000,     580945
 59500,    869345,       59500,     585684
 60000,    877217,       60000,     593203
 60500,    885410,       60500,     789391
 61000,    893327,       61000,     599485
 61500,    901326,       61500,     614543
 62000,    909247,       62000,     612138
 62500,    917264,       62500,     628354
 63000,    925038,       63000,     621619
 63500,    933256,       63500,     864685
 64000,    941361,       64000,     653257
 64500,    949231,       64500,     644510
 65000,    957277,       65000,     644179
 65500,    965372,       65500,     650833
 66000,    973461,       66000,     764039
 66500,    981489,       66500,     715565
 67000,    989884,       67000,     671676
 67500,    998248,       67500,     679183
 68000,   1006032,       68000,     680546
 68500,   1014548,       68500,     782092
 69000,   1022661,       69000,     799305
 69500,   1030755,       69500,     700801
 70000,   1038959,       70000,     706128
 70500,   1047312,       70500,     707990
 71000,   1055505,       71000,     846552
 71500,   1063865,       71500,     814748
 72000,   1071866,       72000,     729580
 72500,   1080095,       72500,     739525
 73000,   1088460,       73000,     742162
 73500,   1096646,       73500,     875869
 74000,   1104937,       74000,     785495
 74500,   1113101,       74500,     756167
 75000,   1121398,       75000,     762276
 75500,   1129489,       75500,     768473
 76000,   1137763,       76000,     983649
 76500,   1145955,       76500,     778516
 77000,   1154113,       77000,     788541
 77500,   1162314,       77500,     787209
 78000,   1170795,       78000,     911817
 78500,   1178977,       78500,     899099
 79000,   1187354,       79000,     813108
 79500,   1195317,       79500,     813709
 80000,   1203943,       80000,     818217
 80500,   1212054,       80500,    1041286
 81000,   1220072,       81000,     834819
 81500,   1228637,       81500,     839119
 82000,   1236466,       82000,     843425
 82500,   1245012,       82500,    1039423
 83000,   1253024,       83000,     896658
 83500,   1261746,       83500,     948533
 84000,   1269925,       84000,     865297
 84500,   1278048,       84500,    1083095
 85000,   1286548,       85000,     879760
 85500,   1294632,       85500,     881983
 86000,   1303246,       86000,     893566
 86500,   1311209,       86500,    1081509
 87000,   1319695,       87000,     895362
 87500,   1327965,       87500,     905660
 88000,   1336218,       88000,     911762
 88500,   1344210,       88500,    1114343
 89000,   1352972,       89000,     923051
 89500,   1360909,       89500,     928942
 90000,   1369419,       90000,     978625
 90500,   1377877,       90500,    1030175
 91000,   1386172,       91000,     942750
 91500,   1394376,       91500,     954523
 92000,   1402752,       92000,    1135643
 92500,   1411179,       92500,     956538
 93000,   1419320,       93000,     968025
 93500,   1427776,       93500,     974688
 94000,   1436045,       94000,    1156111
 94500,   1444165,       94500,     982088
 95000,   1452744,       95000,     997832
 95500,   1461221,       95500,    1117836
 96000,   1469263,       96000,    1080091
 96500,   1477598,       96500,    1007039
 97000,   1485823,       97000,    1012598
 97500,   1494555,       97500,    1215795
 98000,   1502784,       98000,    1025953
 98500,   1511172,       98500,    1030369
 99000,   1519889,       99000,    1181204
 99500,   1528008,       99500,    1068020
100000,   1536225,      100000,    1052620
