    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              1,         0,           0,          0
  100,          2797,            2704,           1762,       546,         100,        411
  200,         11188,           10997,           7303,      1293,         200,        938
  300,         23995,           23706,          17457,      2106,         300,       1475
  400,         40984,           40595,          28621,      2981,         400,       2011
  500,         63157,           62668,          42711,      3871,         500,       2589
  600,         87938,           87349,          58752,      4793,         600,       3230
  700,        121175,          120486,          82158,      5743,         700,       3818
  800,        157167,          156378,         109902,      6726,         800,       4474
  900,        200440,          199552,         137258,      7734,         900,       5282
 1000,        250399,          249411,         175141,      8723,        1000,       5730
 1100,        302255,          301167,         211199,      9739,        1100,       6495
 1200,        356851,          355663,         250970,     10772,        1200,       8414
 1300,        421856,          420568,         323506,     11841,        1300,       7772
 1400,        487671,          486283,         345952,     12881,        1400,       9476
 1500,        565316,          563828,         409308,     13965,        1500,      18042
 1600,        640173,          638585,         638219,     15024,        1600,      15857
 1700,        719115,          717427,         516063,     16108,        1700,      10626
 1800,        809675,          807887,         577749,     17253,        1800,      11338
 1900,        899189,          897301,         638591,     18311,        1900,      11967
 2000,       1002221,         1000233,         713152,     19447,        2000,      13469
 2100,       1110665,         1108577,         788798,     20534,        2100,      13388
 2200,       1207868,         1205680,        1057314,     21661,        2200,      15195
 2300,       1325874,         1323586,         962334,     22870,        2300,      15272
 2400,       1441249,         1438861,        1048545,     23952,        2400,      15800
 2500,       1566415,         1563927,        1237451,     25166,        2500,      18342
 2600,       1695210,         1692622,        1299738,     26289,        2600,      17206
 2700,       1825196,         1822508,        1319137,     27458,        2700,      19453
 2800,       1963566,         1960778,        1572561,     28569,        2800,      30679
 2900,       2099069,         2096181,        1528231,     29743,        2900,      19988
 3000,       2259396,         2256408,        1629311,     30890,        3000,      20103
 3100,       2413943,         2410855,        1920468,     32119,        3100,      21157
 3200,       2552313,         2549125,        1823060,     33290,        3200,      21473
 3300,       2717045,         2713757,        2178461,     34468,        3300,      23258
 3400,       2889308,         2885920,        2069442,     35650,        3400,      24073
 3500,       3047748,         3044260,        2380102,     36840,        3500,      25197
 3600,       3219203,         3215615,        2556226,     38060,        3600,      25846
 3700,       3410008,         3406320,        2459449,     39227,        3700,      25608
 3800,       3612990,         3609202,        2837977,     40419,        3800,      27382
 3900,       3806874,         3802986,        2969949,     41619,        3900,      26702
 4000,       4006313,         4002325,        3028398,     42839,        4000,      30685
 4100,       4200998,         4196910,        3156216,     44003,        4100,      29791
 4200,       4416542,         4412354,        3407015,     45272,        4200,      32369
 4300,       4639026,         4634738,        3584996,     46482,        4300,      30457
 4400,       4861493,         4857105,        3767411,     47731,        4400,      31132
 4500,       5058913,         5054425,        3909844,     48969,        4500,      32347
 4600,       5266421,         5261833,        4225986,     50253,        4600,      34266
 4700,       5491503,         5486815,        4228482,     51473,        4700,      35305
 4800,       5704785,         5699997,        4359978,     52700,        4800,      34859
 4900,       5919422,         5914534,        4515444,     53976,        4900,      34994
 5000,       6151730,         6146742,        4894990,     55284,        5000,      49894
 5100,       6392451,         6387363,        4908735,     56435,        5100,      38490
 5200,       6672839,         6667651,        5080041,     57773,        5200,      37837
 5300,       6926250,         6920962,        5474245,     58969,        5300,      65685
 5400,       7192476,         7187088,        5664010,     60267,        5400,      39737
 5500,       7466251,         7460763,        5654514,     61515,        5500,      40340
 5600,       7743390,         7737802,        6119366,     62794,        5600,      42276
 5700,       8045233,         8039545,        6101856,     64075,        5700,      41793
 5800,       8342955,         8337167,        6524629,     65261,        5800,      43521
 5900,       8611355,         8605467,        6726398,     66566,        5900,      44018
 6000,       8918227,         8912239,        6730615,     67796,        6000,      44455
 6100,       9199852,         9193764,        7141020,     69066,        6100,      45114
 6200,       9548350,         9542162,        7416682,     70407,        6200,      46387
 6300,       9841165,         9834877,        7704863,     71730,        6300,      48018
 6400,      10161513,        10155125,        7852105,     72953,        6400,      48088
 6500,      10461688,        10455200,        8171002,     74241,        6500,      48598
 6600,      10796161,        10789573,        8399151,     75534,        6600,      52995
 6700,      11115808,        11109120,        8587838,     76811,        6700,      51869
 6800,      11467684,        11460896,        9111788,     78103,        6800,      61355
 6900,      11811052,        11804164,        9154167,     79404,        6900,      52396
 7000,      12165828,        12158840,        9453012,     80688,        7000,      54344
 7100,      12543962,        12536874,        9944008,     81989,        7100,      55164
 7200,      12899033,        12891845,       10169881,     83299,        7200,      54331
 7300,      13294077,        13286789,       10515303,     84577,        7300,      55640
 7400,      13677684,        13670296,       10911282,     85817,        7400,      57380
 7500,      14039614,        14032126,       10865231,     87056,        7500,      61607
 7600,      14404501,        14396913,       11342171,     88423,        7600,      59213
 7700,      14827296,        14819608,       11656640,     89719,        7700,      59424
 7800,      15208077,        15200289,       12003259,     91019,        7800,      59274
 7900,      15613197,        15605309,       14102001,     92296,        7900,      60482
 8000,      15981145,        15973157,       12596075,     93673,        8000,      61300
 8100,      16416154,        16408066,       12870995,     94927,        8100,      63893
 8200,      16799060,        16790872,       13167047,     96218,        8200,      69615
 8300,      17185558,        17177270,       13633677,     97598,        8300,      64469
 8400,      17635316,        17626928,       13884746,     98911,        8400,      64916
 8500,      18081390,        18072902,       14495847,    100280,        8500,      66318
 8600,      18486138,        18477550,       14714996,    101603,        8600,      67884
 8700,      18867490,        18858802,       14902051,    102946,        8700,      68549
 8800,      19303430,        19294642,       15294742,    104324,        8800,      68760
 8900,      19692872,        19683984,       15744670,    105548,        8900,      69429
 9000,      20131052,        20122064,       16081777,    106922,        9000,      76591
 9100,      20621650,        20612562,       18183404,    108306,        9100,      71149
 9200,      21042859,        21033671,       16722152,    109730,        9200,      72543
 9300,      21506586,        21497298,       17222656,    110949,        9300,      73804
 9400,      21989526,        21980138,       17665704,    112386,        9400,      73764
 9500,      22475687,        22466199,       17816932,    113703,        9500,      76278
 9600,      22964031,        22954443,       18394063,    115088,        9600,      76179
 9700,      23474755,        23465067,       20246357,    116442,        9700,      76705
 9800,      23959502,        23949714,       19267036,    117732,        9800,      77155
 9900,      24489416,        24479528,       19681093,    119139,        9900,      80506
10000,      24935360,        24925372,       19986548,    120488,       10000,      78741
