   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              1,         0,           0,          0
   5,             8,               4,             11,         8,           5,         15
  10,            28,              19,             16,        25,          10,         27
  15,            51,              37,             28,        42,          15,         41
  20,           110,              91,             83,        66,          20,         60
  25,           176,             152,            103,        84,          25,         74
  30,           266,             237,            156,       113,          30,         93
  35,           373,             339,            222,       136,          35,        113
  40,           482,             443,            307,       169,          40,        148
  45,           618,             574,            375,       199,          45,        169
  50,           735,             686,            461,       219,          50,        174
  55,           863,             809,            544,       248,          55,        195
  60,           960,             901,            616,       287,          60,        217
  65,          1094,            1031,            692,       316,          65,        239
  70,          1225,            1157,            798,       343,          70,        263
  75,          1471,            1398,            957,       373,          75,        308
  80,          1707,            1629,           1174,       413,          80,        398
  85,          1976,            1893,           1251,       439,          85,        336
  90,          2223,            2135,           1428,       484,          90,        359
  95,          2504,            2412,           1650,       504,          95,        523
 100,          2660,            2563,           1796,       544,         100,        411
 105,          2928,            2827,           1912,       582,         105,        421
 110,          3127,            3021,           1984,       606,         110,        502
 115,          3513,            3402,           2276,       656,         115,        488
 120,          3833,            3717,           2472,       686,         120,        500
 125,          4078,            3957,           2633,       720,         125,        531
 130,          4498,            4372,           2962,       752,         130,        560
 135,          4942,            4811,           3220,       790,         135,        591
 140,          5270,            5134,           3402,       824,         140,        654
 145,          5657,            5516,           4008,       866,         145,        649
 150,          6188,            6042,           4096,       894,         150,        661
 155,          6494,            6343,           4190,       933,         155,        668
 160,          6813,            6657,           4432,       983,         160,        687
 165,          7146,            6985,           4563,      1017,         165,        716
 170,          7598,            7432,           4892,      1052,         170,        852
 175,          8098,            7928,           5295,      1097,         175,        771
 180,          8681,            8506,           5739,      1136,         180,        808
 185,          9168,            8988,           6008,      1158,         185,        853
 190,          9785,            9600,           6294,      1191,         190,        851
 195,         10107,            9917,           6710,      1231,         195,        864
 200,         10395,           10200,           6730,      1282,         200,        885
 205,         10952,           10752,           6986,      1312,         205,        912
 210,         11491,           11286,           7548,      1364,         210,        955
 215,         12067,           11857,           7914,      1399,         215,        970
 220,         12197,           11982,           7949,      1428,         220,        993
 225,         12673,           12453,           8234,      1482,         225,       1013
 230,         13127,           12902,           8539,      1529,         230,       1046
 235,         13739,           13509,           9038,      1559,         235,       1143
 240,         14198,           13963,           9221,      1601,         240,       1098
 245,         14947,           14707,           9821,      1636,         245,       1136
 250,         15490,           15245,          10183,      1681,         250,       1161
 255,         15933,           15683,          10371,      1715,         255,       1183
 260,         16854,           16599,          10821,      1748,         260,       1201
 265,         17876,           17616,          11574,      1803,         265,       1232
 270,         18510,           18245,          11816,      1847,         270,       1274
 275,         19146,           18876,          12291,      1889,         275,       1307
 280,         19673,           19398,          12728,      1919,         280,       1329
 285,         20320,           20040,          13122,      1965,         285,       1338
 290,         20929,           20644,          13550,      2013,         290,       1364
 295,         21889,           21599,          14117,      2067,         295,       1394
 300,         22660,           22365,          14647,      2096,         300,       1441
 305,         23716,           23416,          14911,      2124,         305,       1443
 310,         24283,           23978,          15576,      2167,         310,       1491
 315,         25215,           24905,          16763,      2222,         315,       1505
 320,         25723,           25408,          16690,      2264,         320,       1563
 325,         26323,           26003,          17064,      2320,         325,       1583
 330,         26802,           26477,          17272,      2345,         330,       1597
 335,         27492,           27162,          17580,      2390,         335,       1614
 340,         28161,           27826,          18152,      2437,         340,       1643
 345,         28870,           28530,          18745,      2486,         345,       1758
 350,         30163,           29818,          19569,      2522,         350,       1691
 355,         31235,           30885,          19933,      2575,         355,       1729
 360,         31975,           31620,          21019,      2614,         360,       1772
 365,         33065,           32705,          21112,      2670,         365,       1740
 370,         33913,           33548,          21907,      2684,         370,       1886
 375,         34531,           34161,          22473,      2730,         375,       1784
 380,         35567,           35192,          22643,      2775,         380,       1839
 385,         36972,           36592,          24715,      2812,         385,       2670
 390,         37838,           37453,          33593,      2859,         390,       6062
 395,         39153,           38763,          56208,      2910,         395,       2240
 400,         40513,           40118,          66388,      2966,         400,       2206
 405,         41362,           40963,          78094,      3003,         405,      12571
 410,         42475,           42071,          81000,      3031,         410,       2291
 415,         43481,           43072,          34939,      3076,         415,       2538
 420,         44099,           43685,          33155,      3136,         420,       2136
 425,         45218,           44799,          30383,      3175,         425,       2242
 430,         45713,           45289,          31467,      3208,         430,       2277
 435,         46383,           45954,          31124,      3266,         435,       2209
 440,         46984,           46550,          32934,      3306,         440,       2228
 445,         47907,           47468,          40678,      3331,         445,       2495
