  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,             25,         0,           0,          2
  1,             0,               0,              2,         0,           0,          0
  2,             1,               1,             14,         1,           0,         12
  3,             2,               1,              4,         3,           0,         11
  4,             4,               2,              6,         4,           0,         15
  5,             5,               2,              6,         6,           0,         20
  6,            10,               6,             13,        11,           0,         27
  7,            13,               8,             17,        14,           0,         33
  8,            20,              15,             27,        16,           0,         39
  9,            26,              20,             35,        20,           0,         47
 10,            34,              27,             67,        21,           0,         55
 11,            40,              32,             56,        26,           0,         61
 12,            44,              35,             61,        31,           0,         70
 13,            55,              45,             77,        36,           0,         79
 14,            59,              48,             84,        36,           0,         83
 15,            67,              55,             94,        41,           0,         90
 16,            70,              57,             90,        45,           0,         89
 17,            83,              69,            104,        50,           0,         95
 18,            92,              77,            116,        56,           0,        104
 19,            95,              79,            189,        59,           0,        112
 20,           114,              98,            142,        62,           0,        119
 21,           133,             116,            168,        67,           0,        124
 22,           154,             136,            216,        70,           0,        119
 23,           168,             149,            236,        79,           0,        145
 24,           182,             162,            262,        84,           0,        170
 25,           198,             177,            287,        90,           0,        180
 26,           211,             189,            331,        88,           0,        169
 27,           235,             212,            258,        97,           0,        201
 28,           241,             217,            283,        99,           0,        153
 29,           248,             223,            263,       103,           0,        157
 30,           255,             229,            267,       111,           0,        161
 31,           268,             241,            288,       113,           0,        171
 32,           280,             252,            322,       121,           0,        209
 33,           293,             264,            366,       126,           0,        213
 34,           321,             291,            352,       133,           0,        225
 35,           329,             298,            409,       138,           0,        220
 36,           357,             325,            431,       147,           0,        246
 37,           386,             353,            468,       154,           0,        258
 38,           415,             381,            519,       151,           0,        239
 39,           419,             384,            517,       157,           0,        270
 40,           458,             423,           4369,       161,           0,       4161
 41,           486,             450,            965,       166,           0,        352
 42,           508,             471,            826,       173,           0,        399
 43,           538,             500,            847,       180,           0,        366
 44,           544,             505,            857,       180,           0,        381
 45,           558,             518,            927,       182,           0,        412
 46,           580,             539,           1058,       201,           0,        435
 47,           610,             568,           1034,       208,           0,        466
 48,           635,             592,           1020,       208,           0,        441
 49,           677,             633,           1152,       214,           0,        493
 50,           716,             671,           1177,       226,           0,        622
 51,           726,             680,           4507,       233,           0,        696
 52,           729,             682,           1307,       231,           0,       1509
 53,           748,             700,           1012,       237,           0,        431
 54,           800,             751,           1065,       243,           0,        411
 55,           848,             798,           1115,       254,           0,        404
 56,           884,             833,           1057,       256,           0,        331
 57,           908,             856,           1133,       261,           0,        405
 58,           949,             896,           1075,       266,           0,        404
 59,          1007,             953,           1226,       275,           0,        432
 60,          1018,             963,           2377,       283,           0,        578
 61,          1067,            1011,           1885,       288,           0,        528
 62,          1098,            1041,           1933,       291,           0,        680
 63,          1105,            1047,           1792,       297,           0,        541
 64,          1129,            1070,           1645,       308,           0,        523
 65,          1139,            1079,           1667,       313,           0,        545
 66,          1190,            1129,           1800,       319,           0,        666
 67,          1252,            1190,           2346,       326,           0,       1285
 68,          1318,            1255,           2298,       334,           0,        648
 69,          1382,            1318,           2996,       342,           0,        626
 70,          1448,            1383,           2084,       342,           0,        593
 71,          1502,            1436,           2243,       348,           0,        717
 72,          1503,            1436,           2315,       362,           0,        653
 73,          1571,            1503,           3338,       370,           0,       1748
 74,          1616,            1547,           2553,       374,           0,        644
 75,          1682,            1612,           2433,       381,           0,        770
 76,          1706,            1635,           2611,       384,           0,        656
 77,          1710,            1638,           2163,       386,           0,        579
 78,          1746,            1673,           2249,       388,           0,        695
 79,          1814,            1740,           2540,       403,           0,        711
 80,          1819,            1744,           2824,       401,           0,        732
 81,          1859,            1783,           2857,       407,           0,        738
 82,          1882,            1805,           2285,       416,           0,        598
 83,          1933,            1855,           2319,       426,           0,        605
 84,          1938,            1859,           2387,       432,           0,        678
 85,          1983,            1903,           2627,       441,           0,        658
 86,          2010,            1929,           2412,       445,           0,        622
 87,          2055,            1973,           2484,       451,           0,        654
 88,          2094,            2011,           2469,       452,           0,        638
 89,          2130,            2046,           2601,       459,           0,        658
 90,          2185,            2100,           2616,       457,           0,        650
 91,          2198,            2112,           2574,       470,           0,        629
 92,          2212,            2125,           1999,       490,           0,        528
 93,          2255,            2167,           4364,       496,           0,        604
 94,          2295,            2206,           1708,       507,           0,        430
 95,          2303,            2213,           1654,       507,           0,        440
 96,          2379,            2288,           2604,       514,           0,        682
 97,          2421,            2329,           2584,       520,           0,        696
 98,          2517,            2424,           2920,       533,           0,       1048
 99,          2602,            2508,           5395,       533,           0,       1482
100,          2664,            2569,           6634,       549,           0,       1659
