 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              1,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              3,         1,           2,          6
 3,             2,               0,              1,         2,           3,          5
 4,             4,               1,              4,         4,           4,          7
 5,             8,               5,              5,         7,           5,         10
 6,            13,               9,              8,        10,           6,         12
 7,            15,              10,              9,        13,           7,         15
 8,            17,              11,             10,        15,           8,         18
 9,            20,              13,             11,        17,           9,         21
10,            21,              13,             12,        22,          10,         25
